"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java","62","1","62","62","62","62","62","62","62","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Users.java","154","2","156","154","154","154","154","154","77","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java","114","1","114","114","114","114","114","114","114","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java","45","2","46","45","45","45","45","45","22","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java","82","1","82","82","82","82","82","82","82","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java","268","3","320","289","221","221","272","221","90","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java","176","1","176","176","176","176","176","176","176","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java","37","1","37","37","37","37","37","37","37","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java","237","2","249","241","224","224","237","224","118","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java","334","1","334","334","334","334","334","334","334","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java","263","2","279","263","263","263","263","263","131","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java","249","3","264","252","234","234","249","234","83","3","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java","305","3","329","313","309","309","321","309","107","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java","235","2","245","236","219","219","235","219","117","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java","527","5","610","560","553","553","593","553","118","3","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java","195","1","195","195","195","195","195","195","195","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java","70","2","100","85","64","64","70","64","35","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java","555","4","625","576","537","537","555","537","138","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java","110","1","110","110","110","110","110","110","110","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java","194","1","194","194","194","194","194","194","194","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java","140","1","140","140","140","140","140","140","140","1","false"
