"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java","48","3","56","48","48","48","48","48","16","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java","63","2","67","63","63","63","63","63","31","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java","555","5","297","82","237","237","555","284","111","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java","269","4","139","3","133","133","269","136","67","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java","278","5","150","4","136","136","278","141","55","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java","367","4","181","13","176","176","367","190","91","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java","46","2","47","46","46","46","46","46","23","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java","293","6","137","37","127","127","293","165","48","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java","311","4","152","13","148","148","311","162","77","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java","58","2","59","58","58","58","58","58","29","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","297","3","152","1","149","149","297","149","99","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java","74","2","78","74","74","74","74","74","37","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java","37","1","37","37","37","37","37","37","37","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java","38","2","40","38","38","38","38","38","19","2","false"
